
ID	Tower Name	Level	Attack Radius	Fire Rate	Damage	Special Effect	Effect Value	Description	Cost
1	Frost Tower	1	1	1	0	Slow Effect	20%	Slows enemies by 20%	10
2	Frost Tower	2	1	1	15	Slow Effect	30%	Slows enemies by 30%	20
3	Frost Tower	3	2	1	20	Slow Effect	40%	Slows enemies by 40%	30
4	Gun Tower	1	3	3	20	None	N/A	Basic gun tower	10
5	Gun Tower	2	4	3	30	None	N/A	Enhanced gun tower	20
6	Gun Tower	3	5	4	40	None	N/A	Advanced gun tower	30
7	Production Tower	1	0	0	0	Resource Generation	5/s	Generates 5 coins per sec	10
8	Production Tower	2	0	0	0	Resource Generation	10/s	Generates 10 coins per sec	20
9	Production Tower	3	0	0	0	Resource Generation	15/s	Generates 15 coins per sec	30
10	Barracks Tower	1	0	2	0	Soldier Spawn	5/s	Spawns soldiers	10
11	Barracks Tower	2	0	3	0	Soldier Spawn	5/s	Spawns more soldiers	20
12	Barracks Tower	3	0	4	0	Soldier Spawn	5/s	Spawns even more soldiers	30
13	Poison Tower	1	2	2	2	Poison Damage Over Time	5/s	Deals 5 poison damage per sec	10
14	Poison Tower	2	3	2	3	Poison Damage Over Time	10/s	Deals 10 poison damage per sec	20
15	Poison Tower	3	4	3	4	Poison Damage Over Time	15/s	Deals 15 poison damage per sec	30
